#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.103586855089e-01       3.669452149912e-02      -1.439599387665e+04      -1.446212490748e+04       3.693843961163e-02      -1.445233698538e+04       5.674358740808e-02       5.674358740808e-02 
       1.141031432797e-01       3.537082941789e-02      -1.483713260089e+04      -1.490057446558e+04       3.560592904817e-02      -1.489085712158e+04       5.469104567045e-02       5.469104567045e-02 
       1.179609689383e-01       3.404047085572e-02      -1.526500238062e+04      -1.532771572737e+04       3.426675016780e-02      -1.531791914448e+04       5.263987597667e-02       5.263987597667e-02 
       1.219379352335e-01       3.270722118224e-02      -1.567046892523e+04      -1.573503851051e+04       3.292461219277e-02      -1.572496674877e+04       5.057126402301e-02       5.057126402301e-02 
       1.260397911148e-01       3.135926621514e-02      -1.605018109785e+04      -1.611935215262e+04       3.156770265081e-02      -1.610879773240e+04       4.848858666950e-02       4.848858666950e-02 
       1.302722749635e-01       3.001390794158e-02      -1.640611175703e+04      -1.648220517025e+04       3.021340536624e-02      -1.647099332345e+04       4.640956983435e-02       4.640956983435e-02 
       1.346411249439e-01       2.869229820670e-02      -1.674785115084e+04      -1.683218207056e+04       2.888301633097e-02      -1.682021399177e+04       4.436779034452e-02       4.436779034452e-02 
       1.391520875730e-01       2.741976043336e-02      -1.709029067030e+04      -1.718275106005e+04       2.760202506569e-02      -1.717003501442e+04       4.240172011622e-02       4.240172011622e-02 
       1.438109254935e-01       2.621857478429e-02      -1.745139088537e+04      -1.755035379396e+04       2.639286615252e-02      -1.753701165983e+04       4.054745257818e-02       4.054745257818e-02 
       1.486234253656e-01       2.510681115055e-02      -1.784643463867e+04      -1.794907049829e+04       2.527370523402e-02      -1.793531376953e+04       3.882631665215e-02       3.882631665215e-02 
       1.535954067475e-01       2.408175516530e-02      -1.828364920807e+04      -1.838665799860e+04       2.424183141166e-02      -1.837273250855e+04       3.723994589872e-02       3.723994589872e-02 
       1.587327328078e-01       2.313148526807e-02      -1.876062647163e+04      -1.886122223089e+04       2.328524089958e-02      -1.884733419114e+04       3.576915581987e-02       3.576915581987e-02 
       1.640413236944e-01       2.222904489858e-02      -1.926317932694e+04      -1.936002231481e+04       2.237681942016e-02      -1.934626883166e+04       3.437814460257e-02       3.437814460257e-02 
       1.695271733738e-01       2.135690710290e-02      -1.976812363249e+04      -1.986185878271e+04       2.149886593138e-02      -1.984818842047e+04       3.302432716715e-02       3.302432716715e-02 
       1.751963707456e-01       2.048549981538e-02      -2.025299103687e+04      -2.034610965569e+04       2.062166308273e-02      -2.033233307479e+04       3.167588447648e-02       3.167588447648e-02 
       1.810551258339e-01       1.960596385517e-02      -2.070285321419e+04      -2.079881503256e+04       1.973629193696e-02      -2.078467156541e+04       3.031888757567e-02       3.031888757567e-02 
       1.871098018629e-01       1.872915925733e-02      -2.111608419580e+04      -2.121798475174e+04       1.885364796763e-02      -2.120324286428e+04       2.896015990800e-02       2.896015990800e-02 
       1.933669540344e-01       1.786929873407e-02      -2.151304034561e+04      -2.162227141761e+04       1.798807819433e-02      -2.160682694813e+04       2.763237580341e-02       2.763237580341e-02 
       1.998333758630e-01       1.705097023504e-02      -2.191982639714e+04      -2.203544444717e+04       1.716430995850e-02      -2.201936839458e+04       2.636698988262e-02       2.636698988262e-02 
       2.065161539778e-01       1.628838643045e-02      -2.236190245913e+04      -2.248113149944e+04       1.639665569705e-02      -2.246463071831e+04       2.518737872124e-02       2.518737872124e-02 
       2.134227324007e-01       1.558196169121e-02      -2.284874503780e+04      -2.296842385915e+04       1.568553530400e-02      -2.295173244840e+04       2.409494095181e-02       2.409494095181e-02 
       2.205609874542e-01       1.491645046160e-02      -2.336457341020e+04      -2.348284676962e+04       1.501560192300e-02      -2.346610125119e+04       2.306615948605e-02       2.306615948605e-02 
       2.279393146656e-01       1.427362440342e-02      -2.388079199438e+04      -2.399806655924e+04       1.436849954536e-02      -2.398123485652e+04       2.207114231537e-02       2.207114231537e-02 
       2.355667293319e-01       1.364207915116e-02      -2.437856773240e+04      -2.449715317823e+04       1.373275747052e-02      -2.448005970128e+04       2.109484377799e-02       2.109484377799e-02 
       2.434529828190e-01       1.302086662694e-02      -2.485165901049e+04      -2.497422394538e+04       1.310741779265e-02      -2.495666689360e+04       2.013483743417e-02       2.013483743417e-02 
       2.516086972178e-01       1.241547655712e-02      -2.530697840387e+04      -2.543481481197e+04       1.249800147439e-02      -2.541669834207e+04       1.919815887925e-02       1.919815887925e-02 
       2.600455217109e-01       1.183645565078e-02      -2.577023431584e+04      -2.590252394351e+04       1.191513252594e-02      -2.588390981468e+04       1.830302465544e-02       1.830302465544e-02 
       2.687763149736e-01       1.129190468892e-02      -2.626331313682e+04      -2.639794225019e+04       1.136696187999e-02      -2.637898702714e+04       1.746094999732e-02       1.746094999732e-02 
       2.778153592122e-01       1.077538885015e-02      -2.678245151144e+04      -2.691778605799e+04       1.084702357489e-02      -2.689860981698e+04       1.666514418531e-02       1.666514418531e-02 
       2.871786131396e-01       1.028381471025e-02      -2.730921795910e+04      -2.744537457143e+04       1.035217057217e-02      -2.742596571538e+04       1.590191713303e-02       1.590191713303e-02 
       2.968840134504e-01       9.803989449051e-03      -2.782523887701e+04      -2.796376492150e+04       9.869157066867e-03      -2.794400530037e+04       1.516026437986e-02       1.516026437986e-02 
       3.069518373994e-01       9.336765992449e-03      -2.832509256528e+04      -2.846735742390e+04       9.398826611747e-03      -2.844714460135e+04       1.443743195665e-02       1.443743195665e-02 
       3.174051432117e-01       8.887985531583e-03      -2.883069051017e+04      -2.897665368663e+04       8.947063740638e-03      -2.895598901221e+04       1.374365448466e-02       1.374365448466e-02 
       3.282703107308e-01       8.460004032326e-03      -2.935336611533e+04      -2.950191172376e+04       8.516237405519e-03      -2.948087742603e+04       1.308184314123e-02       1.308184314123e-02 
       3.395777126085e-01       8.051611852503e-03      -2.989460123632e+04      -3.004496093010e+04       8.105130168141e-03      -3.002361145854e+04       1.245019973417e-02       1.245019973417e-02 
       3.513625575094e-01       7.657909476818e-03      -3.044110835027e+04      -3.059367917757e+04       7.708810968489e-03      -3.057198165421e+04       1.184143610294e-02       1.184143610294e-02 
       3.636659628402e-01       7.275820467257e-03      -3.098280555114e+04      -3.113845516212e+04       7.324182123034e-03      -3.111634294935e+04       1.125058184693e-02       1.125058184693e-02 
       3.765363379399e-01       6.907027184360e-03      -3.153100035675e+04      -3.168991161646e+04       6.952938017422e-03      -3.166736827387e+04       1.068045927614e-02       1.068045927614e-02 
       3.900311935447e-01       6.552900334674e-03      -3.209711814147e+04      -3.225877460671e+04       6.596457268194e-03      -3.223583499462e+04       1.013285865787e-02       1.013285865787e-02 
       4.042195463226e-01       6.211111013873e-03      -3.267745817566e+04      -3.284167813247e+04       6.252396595111e-03      -3.281835199173e+04       9.604480801832e-03       9.604480801832e-03 
       4.191851695889e-01       5.879629963098e-03      -3.326616621637e+04      -3.343335944849e+04       5.918711918721e-03      -3.340961191292e+04       9.091831053995e-03       9.091831053995e-03 
       4.350310724034e-01       5.558021981611e-03      -3.386891703841e+04      -3.403931328040e+04       5.594966317632e-03      -3.401512182033e+04       8.594551525964e-03       8.594551525964e-03 
       4.518858038140e-01       5.246115304028e-03      -3.449292416501e+04      -3.466640851978e+04       5.280985951467e-03      -3.464177538254e+04       8.112122309192e-03       8.112122309192e-03 
       4.699125411327e-01       4.942063238359e-03      -3.513824869790e+04      -3.531488384551e+04       4.974912989508e-03      -3.528979730657e+04       7.641996546430e-03       7.641996546430e-03 
       4.893225536583e-01       4.644713168901e-03      -3.580840526290e+04      -3.598844210227e+04       4.675586332215e-03      -3.596287452756e+04       7.182169913343e-03       7.182169913343e-03 
       5.103957818608e-01       4.352730417771e-03      -3.650985880160e+04      -3.669342769686e+04       4.381662708697e-03      -3.666735886065e+04       6.730653302612e-03       6.730653302612e-03 
       5.335134515778e-01       4.064654755648e-03      -3.725216271984e+04      -3.743942173255e+04       4.091672354205e-03      -3.741282618562e+04       6.285234897495e-03       6.285234897495e-03 
       5.592119908069e-01       3.778243567650e-03      -3.804354801913e+04      -3.823479107853e+04       3.803357454419e-03      -3.820763007096e+04       5.842367807443e-03       5.842367807443e-03 
       5.882766979428e-01       3.491109989418e-03      -3.890055072598e+04      -3.909608527476e+04       3.514314872835e-03      -3.906831372032e+04       5.398251560808e-03       5.398251560808e-03 
       6.219142761776e-01       3.199589481824e-03      -3.984682968355e+04      -4.004711028959e+04       3.220857066327e-03      -4.001866399575e+04       4.947585156193e-03       4.947585156193e-03 
       6.620931997137e-01       2.898531867643e-03      -4.091797121205e+04      -4.112362472658e+04       2.917800587086e-03      -4.109441461329e+04       4.482665041424e-03       4.482665041424e-03 
       7.122693622254e-01       2.581688522565e-03      -4.217717477803e+04      -4.238914807780e+04       2.598850508360e-03      -4.235903976137e+04       3.992540435861e-03       3.992540435861e-03 
       7.790553876372e-01       2.237676331876e-03      -4.373465286215e+04      -4.395444786746e+04       2.252551655993e-03      -4.392322819914e+04       3.460583442847e-03       3.460583442847e-03 
       8.761460443430e-01       1.852685418239e-03      -4.579114776948e+04      -4.602128025745e+04       1.864999859316e-03      -4.598859239745e+04       2.864764013241e-03       2.864764013241e-03 
       1.030986247133e+00       1.422202495838e-03      -4.867398626958e+04      -4.891863442002e+04       1.431655646955e-03      -4.888388650368e+04       2.199134174458e-03       2.199134174458e-03 
